State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Sabah,N.39,SUGUT,ASPAH BIN ABDULLAH SANI,WARISAN,3183,8434,0.3774,0,L,KLH,TIADA
Sabah,N.39,SUGUT,AG OSMAN BIN ASIBIH,PKS,111,8434,0.0132,0,L,HD,KERJA SENDIRI
Sabah,N.40,LABUK,ABDUL RAHMAN BIN DATUK HJ KONGKAWANG,BN,6665,12425,0.5364,1,L,MNG,PETANI
Sabah,N.40,LABUK,ALBERT T ENTI,PKS,141,12425,0.0113,0,L,HD,PESARA
Sabah,N.40,LABUK,RAINUS AWANG,SOLIDARITI,1171,12425,0.0942,0,L,HD,USAHAWAN
Sabah,N.40,LABUK,JAMES BIN MIKI,PCS,383,12425,0.0308,0,L,HD,TIADA
Sabah,N.40,LABUK,RAMSAH BIN TASIM @ RAMSAH BIN TASHIM,WARISAN,4065,12425,0.3272,0,L,KLH,TIADA
Sabah,N.41,GUM-GUM,ARUNARNSIN BIN TAIB,WARISAN,4710,9218,0.511,1,L,MNG,TIADA
Sabah,N.41,GUM-GUM,JOILIN @ CHRISTINE BINTI BUGUNG,PKS,81,9218,0.0088,0,P,HD,BEKERJA SENDIRI
Sabah,N.41,GUM-GUM,JAMALUDIN BIN LAMBA,PPRS,63,9218,0.0068,0,L,HD,TIADA
Sabah,N.41,GUM-GUM,DATUK JUSLIE HAJI AJIROL,BN,4112,9218,0.4461,0,L,KLH,PENGERUSI SABAH URBAN DEVELOPMENT CORPORATION SDN.BHD. (SUDC
Sabah,N.41,GUM-GUM,DAHIL BIN MASDIK,HR,252,9218,0.0273,0,L,HD,BERNIAGA SENDIRI
Sabah,N.42,SUNGAI SIBUGA,MUSA HAJI AMAN,BN,14503,27063,0.5359,1,L,MNG,KETUA MENTERI SABAH
Sabah,N.42,SUNGAI SIBUGA,OSMAN BIN ENTING,PKS,241,27063,0.0089,0,L,HD,PESARA
Sabah,N.42,SUNGAI SIBUGA,ASMARA BIN ABDUL RAHMAN,WARISAN,12319,27063,0.4552,0,L,KLH,TIADA
Sabah,N.43,SEKONG,SAHAR ABDUL MAJID,PAS,366,11918,0.0307,0,L,HD,USAHAWAN
Sabah,N.43,SEKONG,ARIFIN BIN ASGALI,WARISAN,6740,11918,0.5655,1,L,MNG,AHLI PERNIAGAAN
Sabah,N.43,SEKONG,SAMSUDIN YAHYA,BN,4705,11918,0.3948,0,L,KLH,TIADA
Sabah,N.43,SEKONG,ABDUL RASHID BIN ABDUL RAHMAN,STAR,48,11918,0.004,0,L,HD,TIADA
Sabah,N.43,SEKONG,ALIAS RAHMAD BIN BENJAMIN,PKS,16,11918,0.0013,0,L,HD,KERJA SENDIRI
Sabah,N.43,SEKONG,DATU MOHD FAISAL BIN DATU BACHTIYAL,BEBAS - KAPAL TERBANG,43,11918,0.0036,0,L,HD,BEKERJA SENDIRI
Sabah,N.44,KARAMUNTING,NORSAH BONGSU,PAS,677,11376,0.0595,0,P,HD,PERUNDING PELABURAN
Sabah,N.44,KARAMUNTING,BESARUN BIN KECHA,STAR,61,11376,0.0054,0,L,HD,TIADA
Sabah,N.44,KARAMUNTING,HIEW VUN ZIN,WARISAN,7243,11376,0.6367,1,L,MNG,AHLI PERNIAGAAN
Sabah,N.44,KARAMUNTING,LIM KAI MIN,BN,3395,11376,0.2984,0,L,KLH,TIADA
Sabah,N.45,ELOPURA,CHAN TZUN HEI,BN,5572,17791,0.3132,0,L,KLH,TIADA
